-52 9
-48 0
-40 7
-33 36
-50 79
-45 87
-63 113
-61 116
-81 150
-94 158
-113 172
-140 176
-147 184
-171 172
-166 183
-168 179
-177 167
-191 182
-212 172
-221 166
-230 170
-241 166
-257 150
-275 137
-297 118
-323 92
-340 69
-338 39
-329 11
-347 43
-323 76
-328 92
-315 126
-273 157
-259 158
-243 175
-205 180
-185 187
-156 172
-133 157
-118 154
-87 135
-76 116
-59 83
-52 40
-44 51
-59 33
-45 -5
-71 -39
-92 -59
-113 -75
-120 -88
-140 -95
-161 -99
-184 -114
-206 -113
-216 -113
-222 -106
-212 -109
-254 -97
